content,pair_type,SoundA,SoundB,SoundX,delay,mora
.ムッデラ,1-3 pair,stimuli/50%1-3 pair_muddera1.wav,stimuli/50%1-3 pair_muddera7.wav,stimuli/50%1-3 pair_muddera4.wav,1000,4
.ムッデラ,1-3 pair,stimuli/50%1-3 pair_muddera1.wav,stimuli/50%1-3 pair_muddera7.wav,stimuli/50%1-3 pair_muddera5.wav,1000,4
.ムッデラ,1-3 pair,stimuli/50%1-3 pair_muddera7.wav,stimuli/50%1-3 pair_muddera1.wav,stimuli/50%1-3 pair_muddera6.wav,1000,4
.ムッデラ,1-3 pair,stimuli/50%1-3 pair_muddera7.wav,stimuli/50%1-3 pair_muddera1.wav,stimuli/50%1-3 pair_muddera7.wav,1000,4
ムッテラ,1-3 pair,stimuli/1-3 pair_muttera7.wav,stimuli/1-3 pair_muttera1.wav,stimuli/1-3 pair_muttera1.wav,1000,4
ムッテラ,1-3 pair,stimuli/1-3 pair_muttera7.wav,stimuli/1-3 pair_muttera1.wav,stimuli/1-3 pair_muttera2.wav,1000,4
ムッテラ,1-3 pair,stimuli/1-3 pair_muttera7.wav,stimuli/1-3 pair_muttera1.wav,stimuli/1-3 pair_muttera3.wav,1000,4
ムッテラ,1-3 pair,stimuli/1-3 pair_muttera7.wav,stimuli/1-3 pair_muttera1.wav,stimuli/1-3 pair_muttera4.wav,1000,4
ムッテラ,1-3 pair,stimuli/1-3 pair_muttera1.wav,stimuli/1-3 pair_muttera7.wav,stimuli/1-3 pair_muttera5.wav,1000,4
ムッテラ,1-3 pair,stimuli/1-3 pair_muttera1.wav,stimuli/1-3 pair_muttera7.wav,stimuli/1-3 pair_muttera6.wav,1000,4
ムッテラ,1-3 pair,stimuli/1-3 pair_muttera1.wav,stimuli/1-3 pair_muttera7.wav,stimuli/1-3 pair_muttera7.wav,1000,4
ムッデラ,1-3 pair,stimuli/1-3 pair_muddera1.wav,stimuli/1-3 pair_muddera7.wav,stimuli/1-3 pair_muddera1.wav,1000,4
ムッデラ,1-3 pair,stimuli/1-3 pair_muddera1.wav,stimuli/1-3 pair_muddera7.wav,stimuli/1-3 pair_muddera2.wav,1000,4
ムッデラ,1-3 pair,stimuli/1-3 pair_muddera7.wav,stimuli/1-3 pair_muddera1.wav,stimuli/1-3 pair_muddera3.wav,1000,4
ムッデラ,1-3 pair,stimuli/1-3 pair_muddera7.wav,stimuli/1-3 pair_muddera1.wav,stimuli/1-3 pair_muddera4.wav,1000,4
ムッデラ,1-3 pair,stimuli/1-3 pair_muddera1.wav,stimuli/1-3 pair_muddera7.wav,stimuli/1-3 pair_muddera5.wav,1000,4
